Timesteps,Success Rate
10000,0.0
20000,0.0
30000,0.0
40000,1.0309278350515463
50000,0.7874015748031495
60000,0.591715976331361
70000,0.966183574879227
80000,0.8
90000,1.3559322033898304
100000,1.7341040462427744
110000,1.7369727047146404
120000,1.8018018018018018
130000,3.0303030303030303
140000,4.189435336976321
150000,4.934210526315789
160000,5.128205128205128
170000,6.068965517241379
180000,6.658291457286432
190000,7.009345794392523
200000,7.675438596491229
210000,7.547169811320755
220000,7.992007992007992
230000,8.253358925143955
240000,8.256029684601113
250000,8.183453237410072
260000,8.202443280977311
270000,8.114961961115807
280000,8.141447368421053
290000,8.025682182985554
300000,8.203125
