Timesteps,Success Rate
10000,0.0
20000,2.3255813953488373
30000,1.5151515151515151
40000,1.1494252873563218
50000,0.9174311926605505
60000,0.7692307692307693
70000,0.6622516556291391
80000,0.5813953488372093
90000,2.0618556701030926
100000,1.8604651162790697
110000,1.6877637130801686
120000,1.937984496124031
130000,1.7857142857142856
140000,1.9933554817275747
150000,2.7777777777777777
160000,3.151862464183381
170000,2.964959568733154
180000,3.307888040712468
190000,3.3734939759036147
200000,3.8901601830663615
210000,4.139433551198257
220000,4.365904365904366
230000,4.761904761904762
240000,4.571428571428571
250000,4.5787545787545785
260000,5.604203152364273
270000,6.050420168067227
280000,6.0064935064935066
290000,6.5522620904836195
300000,7.761194029850746
